model,MPG,cylinders,horsepower,weigth,year,origin
chevrolet chevelle malibu,18,8,130,3504,70,US
buick skylark 320,15,8,165,3693,70,US
plymouth satellite,18,8,150,3436,70,US
amc rebel sst,16,8,150,3433,70,US
ford torino,17,8,140,3449,70,US
ford galaxie 500,15,8,198,4341,70,US
chevrolet impala,14,8,220,4354,70,US
plymouth fury iii,14,8,215,4312,70,US
pontiac catalina,14,8,225,4425,70,US
amc ambassador dpl,15,8,190,3850,70,US
dodge challenger se,15,8,170,3563,70,US
plymouth 'cuda 340,14,8,160,3609,70,US
chevrolet monte carlo,15,8,150,3761,70,US
buick estate wagon (sw),14,8,225,3086,70,US
toyota corona mark ii,24,4,95,2372,70,Japan
plymouth duster,22,6,95,2833,70,US
amc hornet,18,6,97,2774,70,US
ford maverick,21,6,85,2587,70,US
datsun pl510,27,4,88,2130,70,Japan
volkswagen 1131 deluxe sedan,26,4,46,1835,70,Europe
peugeot 504,25,4,87,2672,70,Europe
audi 100 ls,24,4,90,2430,70,Europe
saab 99e,25,4,95,2375,70,Europe
bmw 2002,26,4,113,2234,70,Europe
amc gremlin,21,6,90,2648,70,US
ford f250,10,8,215,4615,70,US
chevy c20,10,8,200,4376,70,US
dodge d200,11,8,210,4382,70,US
hi 1200d,9,8,193,4732,70,US
datsun pl510,27,4,88,2130,71,Japan
chevrolet vega 2300,28,4,90,2264,71,US
toyota corona,25,4,95,2228,71,Japan
amc gremlin,19,6,100,2634,71,US
plymouth satellite custom,16,6,105,3439,71,US
chevrolet chevelle malibu,17,6,100,3329,71,US
ford torino 500,19,6,88,3302,71,US
amc matador,18,6,100,3288,71,US
chevrolet impala,14,8,165,4209,71,US
pontiac catalina brougham,14,8,175,4464,71,US
ford galaxie 500,14,8,153,4154,71,US
plymouth fury iii,14,8,150,4096,71,US
dodge monaco (sw),12,8,180,4955,71,US
ford country squire (sw),13,8,170,4746,71,US
pontiac safari (sw),13,8,175,5140,71,US
amc hornet sportabout (sw),18,6,110,2962,71,US
chevrolet vega (sw),22,4,72,2408,71,US
pontiac firebird,19,6,100,3282,71,US
ford mustang,18,6,88,3139,71,US
mercury capri 2000,23,4,86,2220,71,US
opel 1900,28,4,90,2123,71,Europe
peugeot 304,30,4,70,2074,71,Europe
fiat 124b,30,4,76,2065,71,Europe
toyota corolla 1200,31,4,65,1773,71,Japan
datsun 1200,35,4,69,1613,71,Japan
volkswagen model 111,27,4,60,1834,71,Europe
plymouth cricket,26,4,70,1955,71,US
toyota corona hardtop,24,4,95,2278,72,Japan
dodge colt hardtop,25,4,80,2126,72,US
volkswagen type 3,23,4,54,2254,72,Europe
chevrolet vega,20,4,90,2408,72,US
ford pinto runabout,21,4,86,2226,72,US
chevrolet impala,13,8,165,4274,72,US
pontiac catalina,14,8,175,4385,72,US
plymouth fury iii,15,8,150,4135,72,US
ford galaxie 500,14,8,153,4129,72,US
amc ambassador sst,17,8,150,3672,72,US
mercury marquis,11,8,208,4633,72,US
buick lesabre custom,13,8,155,4502,72,US
oldsmobile delta 88 royale,12,8,160,4456,72,US
chrysler newport royal,13,8,190,4422,72,US
